iter	Passed	Remaining
609	1852	1184
610	1853	1180
611	1854	1175
612	1855	1171
613	1856	1166
614	1856	1162
615	1857	1157
616	1858	1153
617	1859	1149
618	1859	1144
619	1860	1140
620	1861	1136
621	1862	1132
622	1863	1127
623	1864	1123
624	1865	1119
625	1865	1114
626	1866	1110
627	1867	1106
628	1868	1101
629	1869	1097
630	1869	1093
631	1870	1089
632	1871	1085
633	1872	1080
634	1872	1076
635	1873	1072
636	1874	1068
637	1875	1063
638	1876	1059
639	1877	1056
640	1878	1052
641	1879	1047
642	1879	1043
643	1880	1039
644	1881	1035
645	1882	1031
646	1883	1027
647	1884	1023
648	1884	1019
649	1885	1015
650	1886	1011
651	1887	1007
652	1887	1003
653	1888	999
654	1889	995
655	1890	991
656	1891	987
657	1892	983
658	1893	979
659	1894	976
660	1895	972
661	1896	968
662	1897	964
663	1898	960
664	1899	956
665	1900	953
666	1901	949
667	1902	945
668	1903	941
669	1904	937
670	1905	934
671	1906	930
672	1907	926
673	1912	925
674	1913	921
675	1915	917
676	1916	914
677	1918	910
678	1919	907
679	1921	904
680	1923	901
681	1925	898
682	1926	894
683	1927	890
684	1928	886
685	1928	882
686	1929	879
687	1930	875
688	1931	871
689	1931	867
690	1932	864
691	1933	860
692	1936	857
693	1938	854
694	1939	851
695	1940	847
696	1941	843
697	1941	840
698	1942	836
699	1943	832
700	1944	829
701	1944	825
702	1945	822
703	1946	818
704	1947	814
705	1947	811
706	1948	807
707	1951	804
708	1953	801
709	1954	798
710	1955	794
711	1956	791
712	1956	787
713	1957	784
714	1958	780
715	1959	777
716	1960	773
717	1960	770
718	1961	766
719	1962	763
720	1963	759
721	1965	756
722	1967	753
723	1968	750
724	1969	747
725	1971	744
726	1972	740
727	1973	737
728	1974	733
729	1975	730
730	1976	727
731	1979	724
732	1981	721
733	1982	718
734	1984	715
735	1985	712
736	1986	708
737	1987	705
738	1988	702
739	1988	698
740	1989	695
741	1990	692
742	1992	689
743	1998	687
744	1999	684
745	1999	680
746	2000	677
747	2001	674
748	2002	670
749	2002	667
750	2003	664
751	2004	661
752	2005	657
753	2005	654
754	2008	651
755	2010	648
756	2013	646
757	2014	643
758	2015	639
759	2016	636
760	2017	633
761	2017	630
762	2019	627
763	2020	624
764	2022	621
765	2026	618
